Chromosome 	Proposed Symbol (5' > 3') 	Parent gene 1 	Parent gene 2 	Predicted coding status
1 	TSNAX-DISC1 	TSNAX 	DISC1 	NA
1 	VPS72-TMOD4 	VPS72 	TMOD4 	NA
2 	STON1- GTF2A1L 	STON1 	GTF2A1L 	protein coding
2 	LY75-CD302 	LY75 	CD302 	NA
3 	MDS1-EVI1 	MDS1 	EVI1 	protein coding
5 	ANKHD1-EIF4EBP3 	ANKHD1 	EIF4EBP3 	protein coding
6 	MUTED-TXNDC5 	MUTED 	TXNDC5 	NA
6 	GOPC-ROS1 	GOPC 	ROS1 	NA
8 	HHLA1-OC90 	HHLA1 	OC90 	NA
9 	GALT-IL11RA 	GALT 	IL11RA 	NA
9 	PALM2-AKAP2 	PALM2 	AKAP2 	protein coding
10 	CYP2C18-CYP2C19 	CYP2C18 	CYP2C19 	NA
11 	ZFP91-CNTF 	ZFP91 	CNTF 	non-coding(NMD candidate)
11 	TRIM6-TRIM34 	TRIM6 	TRIM34 	protein coding
11 	ARL2-SNX15 	ARL2 	SNX15 	NA
11 	DCDC1- DCDC5 	DCDC1 	DCDC5 	NA
11 	HNRPUL2-BSCL2 	HNRPUL2 	BSCL2 	NA
11 	MS4A7- MS4A14 	MS4A7 	MS4A14 	NA
11 	PTPMT1-NDUFS3 	PTPMT1 	NDUFS3 	NA
11 	TUT1-EEF1G 	TUT1 	EEF1G 	NA
11 	SLC43A3-PRG2 	SLC43A3 	PRG2 	NA
11 	TMX2-CTNND1 	TMX2 	CTNND1 	NA
15 	JMJD7-PLA2G4B 	JMJD7 	PLA2G4B 	protein coding (?)
16 	DDX19-DDX19L 	DDX19 	DDX19L 	protein coding
17 	CCL15-CCL14 	CCL15 	CCL14 	non-coding(NMD candidate)
17 	NME1-NME2 	NME1 	NME2 	protein coding
17 	TNFSF12-TNFSF13 	TNFSF12 	TNFSF13 	protein coding
17 	DRG2-MYO15A 	DRG2 	MYO15A 	non-coding
19 	PPAN-P2RY11 	PPAN 	P2RY11 	protein coding
19 	LASS1-GDF1 	LASS1 	GDF1 	NA
20 	Kua-UBE2V1 	Kua 	UBE2V1 	protein coding
20 	STX16-NPEPL1 	STX16 	NPEPL1 	NA
22 	PRR5-ARHGAP8 	PRR5 	ARHGAP8 	protein coding
22 	SEPT5-GP1BB 	SEPT5 	GP1BB 	NA
